ID,Country,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious,Total_Cases_Per_1M,Deaths,Total_tests,Tests_per_1M,Population
,World,"180,765,742","3,915,962","165,412,926","11,436,854","81,097","23,191",502.4,,,
,USA,"34,464,956","618,685","28,871,914","4,974,357","3,884","103,529","1,858","502,180,123","1,508,490",
1,India,"30,133,417","393,338","29,120,340","619,739","8,944","21,628",282,"397,832,667","285,538","332,902,583"
2,Brazil,"18,243,483","509,282","16,511,701","1,222,500","8,318","85,235","2,379","52,820,657","246,782","1,393,271,975"
3,France,"5,764,329","110,906","5,590,123","63,300","1,439","88,119","1,695","91,746,176","1,402,525","214,037,976"
4,Turkey,"5,393,248","49,417","5,254,708","89,123",752,"63,281",580,"59,444,650","697,492","65,415,010"
5,Russia,"5,388,695","131,463","4,915,615","341,617","2,300","36,910",900,"146,900,000","1,006,193","85,226,313"
6,UK,"4,684,572","128,048","4,310,259","246,265",246,"68,653","1,877","205,963,666","3,018,441","145,995,790"
7,Argentina,"4,350,564","91,438","3,967,633","291,493","7,199","95,404","2,005","16,179,419","354,801","68,235,125"
8,Italy,"4,255,700","127,362","4,066,029","62,309",328,"70,488","2,110","70,577,077","1,168,985","45,601,397"
9,Colombia,"4,060,013","102,636","3,769,887","187,490","8,155","78,968","1,996","19,287,638","375,150","60,374,658"
10,Spain,"3,777,539","80,766","3,572,254","124,519",659,"80,764","1,727","51,240,666","1,095,529","51,413,125"
11,Germany,"3,733,077","91,178","3,614,500","27,399",889,"44,417","1,085","63,091,197","750,672","46,772,527"
12,Iran,"3,140,129","83,473","2,797,105","259,551","3,225","36,924",982,"22,945,493","269,809","84,046,340"
13,Poland,"2,879,336","74,917","2,651,045","153,374",201,"76,161","1,982","17,115,473","452,719","85,043,422"
14,Mexico,"2,493,087","232,068","1,982,674","278,345","4,798","19,140","1,782","7,402,958","56,833","37,805,973"
15,Ukraine,"2,231,914","52,181","2,157,732","22,001",177,"51,337","1,200","10,739,672","247,026","130,257,185"
16,Indonesia,"2,053,995","55,949","1,826,504","171,542",,"7,433",202,"19,163,752","69,346","43,475,920"
17,Peru,"2,036,449","191,073",N/A,N/A,"2,474","60,934","5,717","13,886,987","415,523","276,351,443"
18,South Africa,"1,877,143","59,406","1,675,827","141,910",546,"31,265",989,"12,769,052","212,678","33,420,509"
19,Netherlands,"1,681,580","17,735","1,613,649","50,196",167,"97,926","1,033","14,596,733","850,030","60,039,386"
20,Czechia,"1,666,521","30,291","1,634,010","2,220",12,"155,337","2,823","28,465,978","2,653,318","17,172,015"
21,Chile,"1,531,872","31,797","1,468,137","31,938","3,155","79,467","1,650","16,620,509","862,207","10,728,446"
22,Canada,"1,411,634","26,191","1,376,094","9,349",512,"37,084",688,"36,415,725","956,651","19,276,715"
23,Philippines,"1,378,260","24,036","1,302,814","51,410","2,029","12,416",217,"14,636,628","131,854","38,065,840"
24,Iraq,"1,311,093","16,999","1,217,982","76,112",518,"31,898",414,"11,460,870","278,840","111,006,009"
25,Sweden,"1,088,896","14,584","1,052,467","21,845",64,"107,165","1,435","10,574,760","1,040,731","41,102,030"
26,Belgium,"1,081,061","25,149","1,021,987","33,925",184,"92,883","2,161","14,921,127","1,281,992","10,160,901"
27,Romania,"1,080,457","32,771","1,045,303","2,383",125,"56,534","1,715","9,663,779","505,646","11,639,013"
28,Pakistan,"951,865","22,108","896,821","32,936","2,084","4,229",98,"14,279,084","63,441","19,111,736"
29,Bangladesh,"872,935","13,868","794,783","64,284","1,187","5,249",83,"6,435,466","38,699","225,075,583"
30,Portugal,"869,879","17,079","823,103","29,697",106,"85,554","1,680","12,926,064","1,271,306","166,293,802"
31,Israel,"840,430","6,429","833,212",789,27,"90,117",689,"14,850,148","1,592,338","10,167,550"
