,Countries,Region,Freedom_2019,Freedom_2020,Freedom_2021,Total_cases,Total_deaths,Total_cases_per_1M,Population
0,Finland,Western Europe,0.596,0.949172199,0.949,94719,969,17069,31705274
1,Denmark,Western Europe,0.592,0.951444268,0.946,292352,2531,50300,5216947
2,Norway,Western Europe,0.603,0.955750287,0.96,130270,792,23847,1327409
3,Iceland,Western Europe,0.591,0.948891878,0.955,6637,30,19327,30466157
4,Netherlands,Western Europe,0.557,0.908547819,0.913,1681580,17735,97926,60039386
5,Switzerland,Western Europe,0.572,0.921336651,0.919,702398,10878,80582,8702847
6,Sweden,Western Europe,0.574,0.939144194,0.945,1088896,14584,107165,41102030
7,New Zealand,North America and ANZ,0.585,0.936217487,0.929,2725,26,545,902801
8,Canada,North America and ANZ,0.584,0.933913231,0.915,1411634,26191,37084,19276715
9,Austria,Western Europe,0.532,0.899989486,0.908,649922,10697,71761,8716553
10,Australia,North America and ANZ,0.557,0.915431738,0.914,30424,910,1180,442695
11,Costa Rica,Latin America and Caribbean,0.558,0.934738934,0.934,359266,4581,69901,4080422
12,Israel,Middle East and North Africa,0.371,0.747580588,0.8,840430,6429,90117,10167550
13,Luxembourg,Western Europe,0.526,0.90563643,0.907,70586,818,110998,549834
14,Ireland,Western Europe,0.516,0.886982977,0.879,270097,4989,54109,117736619
15,Germany,Western Europe,0.495,0.867371082,0.875,3733077,91178,44417,46772527
16,Belgium,Western Europe,0.473,0.813582063,0.783,1081061,25149,92883,10160901
17,Malta,Western Europe,0.564,0.924911439,0.927,30598,420,69118,1403927
18,Mexico,Latin America and Caribbean,0.433,0.858709276,0.862,2493087,232068,19140,37805973
19,France,Western Europe,0.436,0.825467646,0.822,5764329,110906,88119,214037976
20,Chile,Latin America and Caribbean,0.357,0.744896293,0.742,1531872,31797,79467,10728446
21,Guatemala,Latin America and Caribbean,0.535,0.908147573,0.906,286708,8894,15720,5812179
22,Saudi Arabia,Middle East and North Africa,0.439,0.854191244,0.877,479390,7730,13564,37338153
23,Spain,Western Europe,0.362,0.751989543,0.761,3777539,80766,80764,51413125
24,Panama,Latin America and Caribbean,0.516,0.880366504,0.872,397727,6500,90783,9446276
25,Brazil,Latin America and Caribbean,0.39,0.799804807,0.804,18243483,509282,85235,1393271975
26,Uruguay,Latin America and Caribbean,0.523,0.892395437,0.896,361994,5413,103856,5462234
27,Singapore,Southeast Asia,0.556,0.926645339,0.927,62493,35,10600,2397926
28,El Salvador,Latin America and Caribbean,0.43,0.833805263,0.888,77484,2351,11887,2585801
29,Italy,Western Europe,0.231,0.66465199,0.693,4255700,127362,70488,45601397
30,Bahrain,Middle East and North Africa,0.536,0.905855775,0.925,264405,1334,150315,28356923
31,Slovakia,Central and Eastern Europe,0.334,0.749952674,0.766,391456,12502,71666,11939531
32,Poland,Central and Eastern Europe,0.483,0.862055779,0.841,2879336,74917,76161,85043422
33,Uzbekistan,Commonwealth of Independent States,0.631,0.974998116,0.97,107708,723,3173,39782640
34,Lithuania,Central and Eastern Europe,0.291,0.747381449,0.773,278590,4375,103760,104217174
35,Colombia,Latin America and Caribbean,0.47,0.836179912,0.837,4060013,102636,78968,60374658
36,Slovenia,Central and Eastern Europe,0.564,0.936142623,0.949,257164,4417,123683,1759001
37,Nicaragua,Latin America and Caribbean,0.435,0.863902867,0.836,7920,189,1182,12432288
38,Argentina,Latin America and Caribbean,0.471,0.831132412,0.828,4350564,91438,95404,68235125
39,Romania,Central and Eastern Europe,0.462,0.842823207,0.845,1080457,32771,56534,11639013
40,Cyprus,Western Europe,0.406,0.779858291,0.763,74174,374,61000,47144871
41,Ecuador,Latin America and Caribbean,0.498,0.859828949,0.842,449483,21377,25104,35343238
42,Kuwait,Middle East and North Africa,0.493,0.872366488,0.867,346560,1903,79995,5139615
43,Thailand,Southeast Asia,0.557,0.905063033,0.884,236291,1819,3377,21501168
44,Latvia,Central and Eastern Europe,0.264,0.671237648,0.715,137110,2500,73489,44623632
45,Estonia,Central and Eastern Europe,0.495,0.87770915,0.909,130898,1269,98612,2874716
46,Jamaica,Latin America and Caribbean,0.49,0.858068526,0.89,49841,1049,16760,5895358
47,Mauritius,Sub-Saharan Africa,0.498,0.889534533,0.867,1779,18,1397,779914
48,Japan,East Asia,0.445,0.809961379,0.796,789440,14553,6261,9636296
49,Honduras,Latin America and Caribbean,0.507,0.870603263,0.857,256818,6879,25533,2079218
50,Kazakhstan,Commonwealth of Independent States,0.41,0.811601937,0.853,413267,4268,21755,7218158
51,Bolivia,Latin America and Caribbean,0.511,0.875873327,0.875,429178,16414,36283,17904661
52,Hungary,Central and Eastern Europe,0.199,0.718964577,0.755,807844,29972,83833,9326000
53,Paraguay,Latin America and Caribbean,0.514,0.885923445,0.876,413457,12086,57280,10373102
54,Peru,Latin America and Caribbean,0.455,0.824766099,0.822,2036449,191073,60934,276351443
55,Portugal,Western Europe,0.508,0.888747811,0.892,869879,17079,85554,166293802
56,Pakistan,South Asia,0.313,0.734833717,0.726,951865,22108,4229,19111736
57,Russia,Commonwealth of Independent States,0.334,0.729892612,0.718,5388695,131463,36910,85226313
58,Philippines,Southeast Asia,0.558,0.915463448,0.917,1378260,24036,12416,38065840
59,Serbia,Central and Eastern Europe,0.282,0.726495862,0.778,716096,7019,82283,32771195
60,Moldova,Commonwealth of Independent States,0.245,0.721609175,0.822,256387,6180,63702,5233072
61,Libya,Middle East and North Africa,0.416,0.773157001,0.771,191660,3185,27527,3260792
62,Montenegro,Central and Eastern Europe,0.197,0.649565637,0.708,100131,1609,159408,3329828
63,Tajikistan,Commonwealth of Independent States,0.389,0.831383407,0.832,13358,90,1371,21461002
64,Croatia,Central and Eastern Europe,0.296,0.714838803,0.754,359403,8192,88080,3981659
65,Dominican Republic,Latin America and Caribbean,0.497,0.866202772,0.86,320136,3781,29225,10228564
66,Bosnia and Herzegovina,Central and Eastern Europe,0.212,0.651352704,0.706,204936,9653,62849,2807805
67,Turkey,Middle East and North Africa,0.195,0.608830452,0.576,5393248,49417,63281,65415010
68,Malaysia,Southeast Asia,0.508,0.894626856,0.895,716847,4721,21874,10302182
69,Belarus,Commonwealth of Independent States,0.235,0.639163077,0.65,413139,3082,43736,18996213
70,Greece,Western Europe,0.067,0.541345119,0.582,419909,12604,40481,6897099
71,Mongolia,East Asia,0.317,0.693351328,0.708,102629,482,30821,33942945
72,Nigeria,Sub-Saharan Africa,0.426,0.759578407,0.737,167401,2118,793,11319839
73,Kyrgyzstan,Commonwealth of Independent States,0.508,0.909374893,0.935,118106,1958,17816,5462715
74,Algeria,Middle East and North Africa,0.086,0.466610909,0.48,137403,3669,3079,18884842
75,Morocco,Middle East and North Africa,0.418,0.772072434,0.774,528180,9265,14146,6795459
76,Azerbaijan,Commonwealth of Independent States,0.351,0.786824107,0.814,335676,4965,32818,4332250
77,Lebanon,Middle East and North Africa,0.216,0.551357508,0.525,544002,7835,80054,10007188
78,Indonesia,Southeast Asia,0.491,0.870614409,0.873,2053995,55949,7433,43475920
79,China,East Asia,0.521,0.898517907,0.904,91693,4636,64,5549154
80,Vietnam,Southeast Asia,0.543,0.939592957,0.94,14323,72,146,23859010
81,Cameroon,Sub-Saharan Africa,0.381,0.763051808,0.731,80487,1320,2960,1439323776
82,Bulgaria,Central and Eastern Europe,0.311,0.745178163,0.788,421401,18022,61098,11828571
83,Ghana,Sub-Saharan Africa,0.381,0.794796526,0.807,95259,794,3005,628144
84,Ivory Coast,Sub-Saharan Africa,0.352,0.727909327,0.741,48058,309,1779,2973823
85,Nepal,South Asia,0.439,0.797565043,0.782,629431,8918,21230,9056701
86,Jordan,Middle East and North Africa,0.383,0.75104779,0.755,748685,9703,72672,126096726
87,Benin,Sub-Saharan Africa,0.349,0.735182583,0.757,8170,104,657,1447763
88,Gabon,Sub-Saharan Africa,0.295,0.704829216,0.731,24958,159,10961,17914706
89,Laos,Southeast Asia,0.547,0.907213569,0.91,2080,3,282,39310
90,South Africa,Sub-Saharan Africa,0.389,0.759330094,0.749,1877143,59406,31265,33420509
91,Albania,Central and Eastern Europe,0.383,0.781994224,0.785,132499,2455,46091,1865714
92,Venezuela,Latin America and Caribbean,0.154,0.62327832,0.615,265642,3023,9368,4991704
93,Cambodia,Southeast Asia,0.609,0.959704638,0.959,45366,493,2677,27014358
94,Senegal,Sub-Saharan Africa,0.292,0.690596163,0.695,42677,1159,2485,15074235
95,Namibia,Sub-Saharan Africa,0.401,0.767520964,0.719,78723,1279,30444,27189310
96,Niger,Sub-Saharan Africa,0.318,0.759772122,0.806,5475,193,219,3594368
97,Burkina Faso,Sub-Saharan Africa,0.255,0.665563583,0.695,13474,168,628,8467742
98,Armenia,Commonwealth of Independent States,0.283,0.712017834,0.825,224533,4505,75634,69971553
99,Iran,Middle East and North Africa,0.305,0.647873282,0.608,3140129,83473,36924,84046340
100,Guinea,Sub-Saharan Africa,0.332,0.706846774,0.697,23615,168,1752,2276893
101,Georgia,Commonwealth of Independent States,0.346,0.801641524,0.783,361484,5228,90787,3485521
102,Gambia,Sub-Saharan Africa,0.382,0.733163178,0.697,6054,181,2438,343410
103,Kenya,Sub-Saharan Africa,0.431,0.829747558,0.779,181239,3538,3300,6962571
104,Mauritania,Sub-Saharan Africa,0.066,0.551522553,0.561,20512,483,4301,591773
105,Mozambique,Sub-Saharan Africa,0.494,0.864451885,0.882,73652,863,2294,1215959
106,Tunisia,Middle East and North Africa,0.167,0.593361557,0.656,395362,14406,33114,4381082
107,Bangladesh,South Asia,0.527,0.90062499,0.877,872935,13868,5249,225075583
108,Iraq,Middle East and North Africa,0.241,0.633182645,0.63,1311093,16999,31898,111006009
109,Mali,Sub-Saharan Africa,0.327,0.71156615,0.697,14396,525,692,98943
110,Sierra Leone,Sub-Saharan Africa,0.309,0.715315044,0.717,5155,87,634,184449
111,Sri Lanka,South Asia,0.47,0.837633669,0.841,248050,2814,11537,4024769
112,Myanmar,Southeast Asia,0.525,0.895075202,0.876,150714,3275,2752,51312424
113,Chad,Sub-Saharan Africa,0.174,0.587305248,0.579,4951,174,293,34001
114,Ukraine,Commonwealth of Independent States,0.178,0.663081884,0.724,2231914,52181,51337,130257185
115,Ethiopia,Sub-Saharan Africa,0.344,0.740795195,0.752,275601,4296,2341,2684958
116,Uganda,Sub-Saharan Africa,0.356,0.731713951,0.709,75537,781,1602,6518247
117,Egypt,Middle East and North Africa,0.241,0.708354175,0.749,279184,16002,2679,18238878
118,Zambia,Sub-Saharan Africa,0.431,0.806500256,0.782,140620,1855,7446,54766766
119,Togo,Sub-Saharan Africa,0.293,0.649828613,0.619,13749,128,1624,77386
120,India,South Asia,0.498,0.881444871,0.893,30133417,393338,21628,332902583
121,Liberia,Sub-Saharan Africa,0.37,0.735268712,0.735,3265,110,631,2013311
122,Comoros,Sub-Saharan Africa,0.142,0.547612607,0.548,3912,146,4407,287720
123,Madagascar,Sub-Saharan Africa,0.148,0.557574093,0.552,42166,905,1486,17173403
124,Lesotho,Sub-Saharan Africa,0.359,0.738125861,0.715,11168,329,5173,1002032
125,Burundi,Sub-Saharan Africa,0.22,0.626350224,0.626,5334,8,436,25057043
