Region,Freedom_2019,Freedom_2020,Freedom_2021
Central and Eastern Europe,0.340928571,0.762549464,0.790857143
Commonwealth of Independent States,0.355454545,0.780144415,0.811454545
East Asia,0.427666667,0.800610205,0.802666667
Latin America and Caribbean,0.4385,0.829322457,0.83175
Middle East and North Africa,0.31,0.699050808,0.706333333
North America and ANZ,0.575333333,0.928520819,0.919333333
South Asia,0.3745,0.75811255,0.750166667
Southeast Asia,0.543777778,0.912666606,0.909
Sub-Saharan Africa,0.345470588,0.732632106,0.726264706
Western Europe,0.484263158,0.859201114,0.862052632
